"","Anio","Mes","GasolinaSuper","GasolinaRegular","TotalGasolinas","Diesel","DieselLS","DieselULS","TotalDiesel","GLP","GasolinaAviacion","Kerosina","TurboJet","Bunker","Asfalto","PetCoke","AceitesLubricantes","GrasasLubricantes","Solventes","Naftas","Ceras","Butano","PetroleoReconstit","MTBE","Orimulsion","MezclasOleosas","PetroleoCrudo","TotalMensual"
"82",2011,6,354604.94,230990.13,585595.07,553883.42,NA,NA,553883.42,345196.29,3341,24115.3,NA,665240.82,6274.88,148503.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332150.13
"92",2011,7,369694.76,188581.4,558276.16,734958.54,NA,NA,734958.54,148988.5,NA,44399.6,NA,394362.55,11323.38,328990.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2221298.77
"102",2011,8,270765.31,201844.49,472609.8,1014324.28,NA,NA,1014324.28,565627.93,2176,61586.21,NA,259425.58,9067.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384817.25
"112",2011,9,335803.82,260669.22,596473.04,795554.71,NA,NA,795554.71,382310.38,NA,60244.42,NA,335474.56,9462.4,166170.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345690.03
"122",2011,10,351555.66,239711.91,591267.57,612133.26,NA,NA,612133.26,319091.05,1669,55766.77,NA,175576.95,8582.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1764086.81
"132",2011,11,450212.8,237803.48,688016.28,575406.48,NA,NA,575406.48,384368.36,NA,45729.26,NA,203510.32,11408.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908439.22
"142",2011,12,534925.36,367820.54,902745.9,732921.03,NA,NA,732921.03,141052.55,2114,53946.68,NA,244547.16,11628.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2088955.39
"152",2012,1,434648.17,318283.44,752931.61,790123.23,NA,NA,790123.23,481781.48,NA,27960.8,NA,192178.43,13869.74,332101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590946.78
"162",2012,2,372893.49,253583.96,626477.45,887963.98,NA,NA,887963.98,162561.29,2220,75397.69,NA,56299,5723.19,167575.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984217.75
"172",2012,3,354160.85,255492.16,609653.01,978693.29,NA,NA,978693.29,521493.74,NA,40494.61,NA,486502.56,16175.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2653012.9
"182",2012,4,399701.69,189948.79,589650.48,697871.28,NA,NA,697871.28,131958.4,2646,21732.04,NA,424997.52,8865.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877720.75
"192",2012,5,380531.85,241786.29,622318.14,833370.09,NA,NA,833370.09,510506.81,1551,70939.56,NA,427414.42,12714.5,169754.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648568.61
"202",2012,6,550379.33,320566.69,870946.02,767124.65,NA,NA,767124.65,527672.26,1870,47391.7,NA,490228.51,5405.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2710638.33
"212",2012,7,271509.2,142232.47,413741.67,1021995.9,NA,NA,1021995.9,165424.21,NA,70228.77,NA,293113.09,11297.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975801.33
"222",2012,8,361307.2,263677.23,624984.43,626706.23,NA,NA,626706.23,387892.07,NA,65574.8,NA,76969.26,13907.62,148916.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1944950.71
"232",2012,9,372989.29,201347.56,574336.85,619651.27,NA,NA,619651.27,530897.79,2766,56595.7,NA,323767.51,6813.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2114828.97
"242",2012,10,600094.03,374301.51,974395.54,463054.77,NA,NA,463054.77,162208.43,NA,33639,NA,378149.37,2242.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013689.23
"252",2012,11,359818.54,197398.8,557217.34,538552.89,NA,NA,538552.89,569345.86,2651,37111.56,NA,456468.18,NA,147071.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2308418.04
"262",2012,12,419029.17,287980.58,707009.75,1324780.96,NA,NA,1324780.96,152926.76,95.2,43950.37,NA,273182.16,NA,149085.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2651030.35
"272",2013,1,433924.69,396416.84,830341.53,749266.68,NA,NA,749266.68,575318.45,190.48,57437.01,NA,361207.18,NA,150030.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2723791.82
"282",2013,2,470483.98,235502.58,705986.56,709843.02,NA,NA,709843.02,142772.81,1047.62,55641.8,NA,325080.1,NA,168305.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2108677.08
"292",2013,3,429974.17,439386.62,869360.79,832627.57,NA,NA,832627.57,569013.24,3183.88,19570.11,NA,231802.56,3879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2529437.15
"302",2013,4,430259.18,274680.65,704939.83,860094.78,NA,NA,860094.78,508649.45,NA,50291.42,NA,337655.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2461630.69
"313",2013,5,532379.66,281823.2,814202.86,1202187.85,NA,NA,1202187.85,181461.6,797.62,73024.85,NA,331393.56,NA,180944.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2784012.56
"322",2013,6,284038.03,293808.6,577846.63,729711.88,NA,NA,729711.88,536847.17,1196.47,75416.48,NA,365997.74,34302.05,167235.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2488553.89
"332",2013,7,486075.06,259025.83,745100.89,693160.5,NA,NA,693160.5,352909.02,795.59,60089.4,NA,113165.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965220.95
"342",2013,8,347066.11,221433.2,568499.31,505133.44,NA,NA,505133.44,359346,3677,58972.06,NA,405352.22,NA,146366.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047346.36
"352",2013,9,373303.31,300794.99,674098.3,803626.98,NA,NA,803626.98,394985.89,NA,83693.28,NA,172130.08,305,172152.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300992.12
"362",2013,10,372946.33,281168.85,654115.18,980327.98,NA,NA,980327.98,415869.34,3626.98,133623.6,NA,171722.79,889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2360174.87
"372",2013,11,496029.72,390941.15,886970.87,903218.47,NA,NA,903218.47,425669.24,797.21,5319.12,NA,202139.43,152,169752.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2594018.83
"382",2013,12,358799.64,210096.78,568896.42,791698.89,NA,NA,791698.89,452414.08,NA,98883.1,NA,150330.46,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062374.95
"392",2014,1,457365.46,487880.79,945246.25,1595698.56,NA,NA,1595698.56,371888.73,1465,109091.19,NA,117010.52,2238,149806.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292444.39
"402",2014,2,455726.06,312423.86,768149.92,688703.18,NA,NA,688703.18,336845.19,NA,80162.42,NA,116368.88,6093.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996323.39
"413",2014,3,582572.93,472437.63,1055010.56,1147182.5,NA,NA,1147182.5,358755.83,3392.28,46120.4,NA,407270.41,639,330016.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348387.65
"422",2014,4,270302.22,207049,477351.22,845051.33,NA,NA,845051.33,466766.95,1570.1,72947.78,NA,332419.3,2349.7,6993.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205449.41
"432",2014,5,563319.79,417767.24,981087.03,1008148.07,NA,NA,1008148.07,554784.32,4644.98,175257.51,NA,246105.2,2000.03,327251.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299278.85
"442",2014,6,404603.55,247114.99,651718.54,694920.68,NA,NA,694920.68,359135.62,NA,67873.76,NA,286478.99,5469.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065597.19
"452",2014,7,558403.41,454196.13,1012599.54,845875.86,NA,NA,845875.86,417570.34,NA,66309.97,NA,167316.42,3399.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513071.83
"462",2014,8,398563.48,305285.53,703849.01,760353.37,NA,NA,760353.37,416068.3,356.6,170401.29,NA,477014.48,1736.4,151264.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681043.91
"472",2014,9,547486.22,378741.56,926227.78,598145.89,NA,NA,598145.89,408998.93,358.6,13079.9,NA,368203.04,2799.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317813.24
"482",2014,10,379572.07,256340.49,635912.56,762763.24,NA,NA,762763.24,314868.89,4466.9,20828.7,NA,230129.08,3367.86,161718.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134055.27
"492",2014,11,533524.4,372809.93,906334.33,1033873.16,NA,NA,1033873.16,487343.72,NA,79078.42,NA,243197.44,4294.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2754121.68
